Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,5.830000,5.850000,5.770000,5.820000,5.623005,14979800
2019-01-02,5.700000,5.770000,5.690000,5.740000,5.545713,24338600
2019-01-03,5.640000,5.650000,5.560000,5.570000,5.381468,17354500
2019-01-04,5.730000,5.960000,5.730000,5.930000,5.729282,34666300
2019-01-07,5.950000,6.090000,5.930000,6.020000,5.816236,25502600
2019-01-08,6.070000,6.160000,6.030000,6.150000,5.941836,33497100
2019-01-09,6.160000,6.240000,6.140000,6.210000,5.999805,25471600
2019-01-10,6.110000,6.180000,6.090000,6.140000,5.932174,21832900
2019-01-11,6.060000,6.100000,6.030000,6.080000,5.874205,14824200
2019-01-14,6.030000,6.070000,6.000000,6.020000,5.816236,15287800
2019-01-15,6.000000,6.080000,6.000000,6.050000,5.845221,14197300
2019-01-16,5.960000,6.000000,5.900000,5.950000,5.748605,24161700
2019-01-17,5.960000,6.000000,5.940000,5.980000,5.777590,19734200
2019-01-18,6.110000,6.130000,6.040000,6.110000,5.903190,22432600
2019-01-22,6.000000,6.040000,5.950000,5.970000,5.767928,17110800
2019-01-23,6.060000,6.120000,6.010000,6.050000,5.845221,14700400
2019-01-24,6.150000,6.200000,6.090000,6.160000,5.951498,29669900
2019-01-25,6.380000,6.640000,6.370000,6.600000,6.376604,58825000
2019-01-28,6.480000,6.510000,6.420000,6.490000,6.270328,36912200
2019-01-29,6.510000,6.600000,6.480000,6.550000,6.328297,34649100
2019-01-30,6.500000,6.650000,6.450000,6.570000,6.347620,34552800
2019-01-31,6.360000,6.400000,6.210000,6.350000,6.135067,71227900
2019-02-01,6.260000,6.260000,6.090000,6.130000,5.922513,45701700
2019-02-04,6.120000,6.120000,5.980000,6.060000,5.854882,33474700
2019-02-05,6.050000,6.090000,6.020000,6.040000,5.835559,27216200
2019-02-06,6.080000,6.110000,6.040000,6.050000,5.845221,23624000
2019-02-07,6.020000,6.030000,5.950000,5.960000,5.758267,39599500
2019-02-08,5.960000,6.190000,5.960000,6.160000,5.951498,37475100
2019-02-11,6.190000,6.230000,6.130000,6.210000,5.999805,23293400
2019-02-12,6.210000,6.260000,6.150000,6.240000,6.028790,29400700
2019-02-13,6.270000,6.350000,6.260000,6.320000,6.106082,18786100
2019-02-14,6.310000,6.340000,6.270000,6.300000,6.086759,18292800
2019-02-15,6.300000,6.330000,6.260000,6.320000,6.106082,20775700
2019-02-19,6.130000,6.190000,6.120000,6.170000,5.961159,22651500
2019-02-20,6.050000,6.120000,6.030000,6.100000,5.893528,22922800
2019-02-21,6.100000,6.170000,6.090000,6.150000,5.941836,25796000
2019-02-22,6.150000,6.250000,6.140000,6.240000,6.028790,26931600
2019-02-25,6.280000,6.280000,6.110000,6.150000,5.941836,32257700
2019-02-26,6.150000,6.200000,6.110000,6.120000,5.912851,27324400
2019-02-27,6.150000,6.150000,6.070000,6.120000,5.912851,22102900
2019-02-28,6.100000,6.130000,6.070000,6.090000,5.883867,26216800
2019-03-01,6.120000,6.170000,6.080000,6.110000,5.903190,24788200
